img_path,mask_path,img_w,img_h,n_boxes
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00029.jpg,D:\Claude\datasets\ppe_masks\00029_mask.png,1606,772,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00030.jpg,D:\Claude\datasets\ppe_masks\00030_mask.png,1600,940,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00031.jpg,D:\Claude\datasets\ppe_masks\00031_mask.png,235,236,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00032.jpg,D:\Claude\datasets\ppe_masks\00032_mask.png,300,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00033.jpg,D:\Claude\datasets\ppe_masks\00033_mask.png,240,240,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00034.jpg,D:\Claude\datasets\ppe_masks\00034_mask.png,450,583,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00035.jpg,D:\Claude\datasets\ppe_masks\00035_mask.png,392,294,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00036.jpg,D:\Claude\datasets\ppe_masks\00036_mask.png,337,720,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00037.jpg,D:\Claude\datasets\ppe_masks\00037_mask.png,350,233,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00038.jpg,D:\Claude\datasets\ppe_masks\00038_mask.png,626,417,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00039.jpg,D:\Claude\datasets\ppe_masks\00039_mask.png,500,263,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00040.jpg,D:\Claude\datasets\ppe_masks\00040_mask.png,340,510,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00041.jpg,D:\Claude\datasets\ppe_masks\00041_mask.png,350,470,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00042.jpg,D:\Claude\datasets\ppe_masks\00042_mask.png,800,800,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00043.jpg,D:\Claude\datasets\ppe_masks\00043_mask.png,228,228,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00044.jpg,D:\Claude\datasets\ppe_masks\00044_mask.png,570,392,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00045.jpg,D:\Claude\datasets\ppe_masks\00045_mask.png,1120,747,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00046.jpg,D:\Claude\datasets\ppe_masks\00046_mask.png,1920,1080,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00047.jpg,D:\Claude\datasets\ppe_masks\00047_mask.png,220,271,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00048.jpg,D:\Claude\datasets\ppe_masks\00048_mask.png,759,741,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00049.jpg,D:\Claude\datasets\ppe_masks\00049_mask.png,1300,1390,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00050.jpg,D:\Claude\datasets\ppe_masks\00050_mask.png,690,388,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00051.jpg,D:\Claude\datasets\ppe_masks\00051_mask.png,1300,881,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00052.jpg,D:\Claude\datasets\ppe_masks\00052_mask.png,890,1144,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00053.jpg,D:\Claude\datasets\ppe_masks\00053_mask.png,1200,800,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00054.jpg,D:\Claude\datasets\ppe_masks\00054_mask.png,200,258,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00055.jpg,D:\Claude\datasets\ppe_masks\00055_mask.png,1024,660,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00056.jpg,D:\Claude\datasets\ppe_masks\00056_mask.png,466,466,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00057.jpg,D:\Claude\datasets\ppe_masks\00057_mask.png,960,540,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00058.jpg,D:\Claude\datasets\ppe_masks\00058_mask.png,228,228,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00059.jpg,D:\Claude\datasets\ppe_masks\00059_mask.png,581,766,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00060.jpg,D:\Claude\datasets\ppe_masks\00060_mask.png,295,225,22
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00061.jpg,D:\Claude\datasets\ppe_masks\00061_mask.png,1200,900,12
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00062.jpg,D:\Claude\datasets\ppe_masks\00062_mask.png,236,280,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00063.jpg,D:\Claude\datasets\ppe_masks\00063_mask.png,1920,1080,12
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00064.jpg,D:\Claude\datasets\ppe_masks\00064_mask.png,207,223,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00065.jpg,D:\Claude\datasets\ppe_masks\00065_mask.png,3840,5760,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00066.jpg,D:\Claude\datasets\ppe_masks\00066_mask.png,1300,1300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00067.jpg,D:\Claude\datasets\ppe_masks\00067_mask.png,300,381,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00068.jpg,D:\Claude\datasets\ppe_masks\00068_mask.png,790,1618,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00069.jpg,D:\Claude\datasets\ppe_masks\00069_mask.png,400,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00070.jpg,D:\Claude\datasets\ppe_masks\00070_mask.png,425,425,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00071.jpg,D:\Claude\datasets\ppe_masks\00071_mask.png,450,450,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00072.jpg,D:\Claude\datasets\ppe_masks\00072_mask.png,750,616,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00073.jpg,D:\Claude\datasets\ppe_masks\00073_mask.png,650,433,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00074.jpg,D:\Claude\datasets\ppe_masks\00074_mask.png,1300,957,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00075.jpg,D:\Claude\datasets\ppe_masks\00075_mask.png,447,559,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00076.jpg,D:\Claude\datasets\ppe_masks\00076_mask.png,770,514,13
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00077.jpg,D:\Claude\datasets\ppe_masks\00077_mask.png,800,800,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00078.jpg,D:\Claude\datasets\ppe_masks\00078_mask.png,1500,1120,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00079.jpg,D:\Claude\datasets\ppe_masks\00079_mask.png,601,600,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00080.jpg,D:\Claude\datasets\ppe_masks\00080_mask.png,400,204,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00081.jpg,D:\Claude\datasets\ppe_masks\00081_mask.png,500,334,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00082.jpg,D:\Claude\datasets\ppe_masks\00082_mask.png,600,600,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00083.jpg,D:\Claude\datasets\ppe_masks\00083_mask.png,750,896,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00084.jpg,D:\Claude\datasets\ppe_masks\00084_mask.png,1200,1200,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00085.jpg,D:\Claude\datasets\ppe_masks\00085_mask.png,820,947,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00086.jpg,D:\Claude\datasets\ppe_masks\00086_mask.png,450,320,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00087.jpg,D:\Claude\datasets\ppe_masks\00087_mask.png,550,550,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00088.jpg,D:\Claude\datasets\ppe_masks\00088_mask.png,866,1392,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00089.jpg,D:\Claude\datasets\ppe_masks\00089_mask.png,450,319,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00090.jpg,D:\Claude\datasets\ppe_masks\00090_mask.png,302,413,8
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00091.jpg,D:\Claude\datasets\ppe_masks\00091_mask.png,700,525,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00092.jpg,D:\Claude\datasets\ppe_masks\00092_mask.png,800,532,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00093.jpg,D:\Claude\datasets\ppe_masks\00093_mask.png,228,228,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00094.jpg,D:\Claude\datasets\ppe_masks\00094_mask.png,420,540,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00095.jpg,D:\Claude\datasets\ppe_masks\00095_mask.png,1920,1080,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00096.jpg,D:\Claude\datasets\ppe_masks\00096_mask.png,2048,2648,12
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00097.jpg,D:\Claude\datasets\ppe_masks\00097_mask.png,3000,2000,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00098.jpg,D:\Claude\datasets\ppe_masks\00098_mask.png,2000,2000,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00099.jpg,D:\Claude\datasets\ppe_masks\00099_mask.png,200,200,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00100.jpg,D:\Claude\datasets\ppe_masks\00100_mask.png,750,600,11
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00101.jpg,D:\Claude\datasets\ppe_masks\00101_mask.png,400,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00102.jpg,D:\Claude\datasets\ppe_masks\00102_mask.png,720,648,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00103.jpg,D:\Claude\datasets\ppe_masks\00103_mask.png,500,500,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00104.jpg,D:\Claude\datasets\ppe_masks\00104_mask.png,370,370,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00105.jpg,D:\Claude\datasets\ppe_masks\00105_mask.png,3360,1885,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00106.jpg,D:\Claude\datasets\ppe_masks\00106_mask.png,500,373,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00107.jpg,D:\Claude\datasets\ppe_masks\00107_mask.png,550,550,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00108.jpg,D:\Claude\datasets\ppe_masks\00108_mask.png,1000,1000,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00109.jpg,D:\Claude\datasets\ppe_masks\00109_mask.png,200,257,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00110.jpg,D:\Claude\datasets\ppe_masks\00110_mask.png,800,800,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00111.jpg,D:\Claude\datasets\ppe_masks\00111_mask.png,300,450,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00112.jpg,D:\Claude\datasets\ppe_masks\00112_mask.png,300,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00113.jpg,D:\Claude\datasets\ppe_masks\00113_mask.png,711,400,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00114.jpg,D:\Claude\datasets\ppe_masks\00114_mask.png,608,342,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00115.jpg,D:\Claude\datasets\ppe_masks\00115_mask.png,500,546,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00116.jpg,D:\Claude\datasets\ppe_masks\00116_mask.png,269,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00117.jpg,D:\Claude\datasets\ppe_masks\00117_mask.png,720,648,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00118.jpg,D:\Claude\datasets\ppe_masks\00118_mask.png,600,600,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00119.jpg,D:\Claude\datasets\ppe_masks\00119_mask.png,1600,1200,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00120.jpg,D:\Claude\datasets\ppe_masks\00120_mask.png,170,255,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00121.jpg,D:\Claude\datasets\ppe_masks\00121_mask.png,1023,682,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00122.jpg,D:\Claude\datasets\ppe_masks\00122_mask.png,1000,1000,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00123.jpg,D:\Claude\datasets\ppe_masks\00123_mask.png,450,320,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00124.jpg,D:\Claude\datasets\ppe_masks\00124_mask.png,450,316,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00125.jpg,D:\Claude\datasets\ppe_masks\00125_mask.png,200,418,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00126.jpg,D:\Claude\datasets\ppe_masks\00126_mask.png,750,644,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00127.jpg,D:\Claude\datasets\ppe_masks\00127_mask.png,588,790,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00128.jpg,D:\Claude\datasets\ppe_masks\00128_mask.png,1000,1000,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00129.jpg,D:\Claude\datasets\ppe_masks\00129_mask.png,426,238,11
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00130.jpg,D:\Claude\datasets\ppe_masks\00130_mask.png,1024,1304,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00131.jpg,D:\Claude\datasets\ppe_masks\00131_mask.png,2016,1512,15
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00132.jpg,D:\Claude\datasets\ppe_masks\00132_mask.png,120,120,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00133.jpg,D:\Claude\datasets\ppe_masks\00133_mask.png,750,1624,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00134.jpg,D:\Claude\datasets\ppe_masks\00134_mask.png,638,903,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00135.jpg,D:\Claude\datasets\ppe_masks\00135_mask.png,300,381,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00136.jpg,D:\Claude\datasets\ppe_masks\00136_mask.png,180,180,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00137.jpg,D:\Claude\datasets\ppe_masks\00137_mask.png,800,600,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00138.jpg,D:\Claude\datasets\ppe_masks\00138_mask.png,397,479,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00139.jpg,D:\Claude\datasets\ppe_masks\00139_mask.png,600,527,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00140.jpg,D:\Claude\datasets\ppe_masks\00140_mask.png,638,479,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00141.jpg,D:\Claude\datasets\ppe_masks\00141_mask.png,400,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00142.jpg,D:\Claude\datasets\ppe_masks\00142_mask.png,466,466,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00143.jpg,D:\Claude\datasets\ppe_masks\00143_mask.png,300,300,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00144.jpg,D:\Claude\datasets\ppe_masks\00144_mask.png,600,600,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00145.jpg,D:\Claude\datasets\ppe_masks\00145_mask.png,492,641,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00146.jpg,D:\Claude\datasets\ppe_masks\00146_mask.png,640,640,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00147.jpg,D:\Claude\datasets\ppe_masks\00147_mask.png,346,354,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00148.jpg,D:\Claude\datasets\ppe_masks\00148_mask.png,300,420,11
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00149.jpg,D:\Claude\datasets\ppe_masks\00149_mask.png,1200,800,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00150.jpg,D:\Claude\datasets\ppe_masks\00150_mask.png,450,300,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00151.jpg,D:\Claude\datasets\ppe_masks\00151_mask.png,1300,1300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00152.jpg,D:\Claude\datasets\ppe_masks\00152_mask.png,320,270,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00153.jpg,D:\Claude\datasets\ppe_masks\00153_mask.png,650,458,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00154.jpg,D:\Claude\datasets\ppe_masks\00154_mask.png,1300,1390,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00155.jpg,D:\Claude\datasets\ppe_masks\00155_mask.png,800,800,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00156.jpg,D:\Claude\datasets\ppe_masks\00156_mask.png,400,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00157.jpg,D:\Claude\datasets\ppe_masks\00157_mask.png,2000,2000,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00158.jpg,D:\Claude\datasets\ppe_masks\00158_mask.png,500,334,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00159.jpg,D:\Claude\datasets\ppe_masks\00159_mask.png,450,295,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00160.jpg,D:\Claude\datasets\ppe_masks\00160_mask.png,1300,998,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00161.jpg,D:\Claude\datasets\ppe_masks\00161_mask.png,300,387,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00162.jpg,D:\Claude\datasets\ppe_masks\00162_mask.png,240,240,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00163.jpg,D:\Claude\datasets\ppe_masks\00163_mask.png,800,800,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00164.jpg,D:\Claude\datasets\ppe_masks\00164_mask.png,1000,1000,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00165.jpg,D:\Claude\datasets\ppe_masks\00165_mask.png,1460,490,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00166.jpg,D:\Claude\datasets\ppe_masks\00166_mask.png,588,790,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00167.jpg,D:\Claude\datasets\ppe_masks\00167_mask.png,631,358,15
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00168.jpg,D:\Claude\datasets\ppe_masks\00168_mask.png,1500,1120,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00169.jpg,D:\Claude\datasets\ppe_masks\00169_mask.png,857,481,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00170.jpg,D:\Claude\datasets\ppe_masks\00170_mask.png,300,300,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00171.jpg,D:\Claude\datasets\ppe_masks\00171_mask.png,650,433,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00172.jpg,D:\Claude\datasets\ppe_masks\00172_mask.png,300,300,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00173.jpg,D:\Claude\datasets\ppe_masks\00173_mask.png,1056,816,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00174.jpg,D:\Claude\datasets\ppe_masks\00174_mask.png,600,600,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00175.jpg,D:\Claude\datasets\ppe_masks\00175_mask.png,600,600,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00176.jpg,D:\Claude\datasets\ppe_masks\00176_mask.png,889,1024,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00177.jpg,D:\Claude\datasets\ppe_masks\00177_mask.png,700,525,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00178.jpg,D:\Claude\datasets\ppe_masks\00178_mask.png,340,255,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00179.jpg,D:\Claude\datasets\ppe_masks\00179_mask.png,408,659,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00180.jpg,D:\Claude\datasets\ppe_masks\00180_mask.png,600,400,10
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00181.jpg,D:\Claude\datasets\ppe_masks\00181_mask.png,500,334,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00182.jpg,D:\Claude\datasets\ppe_masks\00182_mask.png,1600,1167,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00183.jpg,D:\Claude\datasets\ppe_masks\00183_mask.png,900,900,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00184.jpg,D:\Claude\datasets\ppe_masks\00184_mask.png,800,800,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00185.jpg,D:\Claude\datasets\ppe_masks\00185_mask.png,500,334,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00186.jpg,D:\Claude\datasets\ppe_masks\00186_mask.png,1024,704,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00187.jpg,D:\Claude\datasets\ppe_masks\00187_mask.png,236,227,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00188.jpg,D:\Claude\datasets\ppe_masks\00188_mask.png,750,860,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00189.jpg,D:\Claude\datasets\ppe_masks\00189_mask.png,961,529,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00190.jpg,D:\Claude\datasets\ppe_masks\00190_mask.png,650,434,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00191.jpg,D:\Claude\datasets\ppe_masks\00191_mask.png,600,338,6
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00192.jpg,D:\Claude\datasets\ppe_masks\00192_mask.png,1000,1071,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00193.jpg,D:\Claude\datasets\ppe_masks\00193_mask.png,800,800,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00194.jpg,D:\Claude\datasets\ppe_masks\00194_mask.png,600,280,3
